Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta da Ouvidoria	RESPOSTAS COM ANEXO
001	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	02/01/2015	Gostaria de saber quantos cargos vagos existem para Juiz Substituto e Juiz de 1ª entrância. 	19/01/2015	"Informo que, na data de hoje, na 1ª Entrância, existem 27 cargos vagos de Juiz Substituto, a serem providos por concurso (COJE - LC nº 100, de 21/11/2007 prevê o quantitativo de 55 cargos de JS para a 1ª Entrância); 61 Comarcas Vagas (cujos cargos foram oferecidos para nomeação, haja vista os editais de Remoção terem restado sem concorrentes) e 01 cargo de Juiz de Direito a ser provido por REMOÇÃO (Edital nº 71/14-RA - Cargo de Juiz de Direito da Comarca de Rio Formoso - Edital pendente de julgamento).

Por oportuno, informo que a partir do dia 02.02.2015, estes números serão totalmente alterados, em virtude do exercício dos novos magistrados, bem como do exercício dos magistrados promovidos/removidos."	
002	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	05/01/2015	"Solicito o envio em meio digital da relação dos imóveis existentes na cidade do Recife identificados como em risco de desabamento em que há decisão judicial para demolição parcial ou total.
"	02/02/2015	"Prezado(a) Senhor(a),

Ref. Pedido de Informação nº 002/2015
Segue, abaixo, resposta ao seu pedido de informação registrado neste CPSIC/TJPE sob o número em epígrafe.

""1. O Judiciário não registra no seu sistema o imóvel, e sim o proprietário do imóvel. Assim, não é possível a busca da informação por imóvel.
2. A identificação do imóvel e o resultado da ação (demolição, demolição parcial, etc) devem estar contidos no texto da respectiva sentença. Desta forma, para se extrair a informação, seria necessário identificar todos os processos desta natureza (sendo necessário um estudo específico para identificar as classes e assuntos pertinentes),  e, em seguida, ler e interpretar cada sentença.
Diante deste cenário, não é viável uma automatização para extração das informações solicitadas.""

Atc.,
Ouvidoria Geral da Justiça/CPSIC-TJPE
"	
003	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	12/01/2015	"Usuário, com base na Lei nº 12.527/2011, solicita: ""FORNECIMENTO DE CÓPIA, DE ADITIVO VIGENTE DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS, No. 101/2012, ENTRE TRIBUNAL DE JUSTIÇA DE PERNAMBUCO E EMPRESA SUPRISERVI COM REP E SERVIÇOS E OU SUCESSORA"""	15/01/2015	"Prezado Senhor,

Em resposta à sua solicitação, registrada nesta Ouvidoria sob o número em epígrafe, vimos por meio desta, encaminhar a V.Sa cópias do Termo Aditivo do Contrato de Prestação de Serviços celebrado entre o Tribunal de Justiça do Estado de Pernambuco e a empresa Supriservi Comércio Representações e Serviços LTDA.
Na expectativa de termos prestado as informações solicitadas acerca do referido pleito, agradecemos a confiança depositada, e nos colocamos à disposição para quaisquer esclarecimentos que se fizerem necessários através da Ouvidoria Geral da Justiça, telefone 0800-0815251, por carta, ou pelo e-mail: ouvidor@tjpe.jus.br.

Atenciosamente.

Ouvidoria Geral da Justiça

"	SIM                   Pedido de Informação nº 003/2015
004	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	22/01/2015	Solicito, por gentileza, cópia do Contrato de prestação de serviços para gerenciamento da folha de pagamento dos servidores e magistrados deste Poder.	26/02/2015	"Prezado(a) Senhor(a), 

Ref. PEDIDO DE INFORMAÇÃO Nº 004/2015 - CPSIC/TJPE

Seguem, abaixo, informações fornecidas pela Secretaria de Gestão de Pessoas deste TJPE, acerca do seu Pedido de Informação com base na LAI, registrada sob o nº 004/2015.

""Informamos que o TJPE adquiriu um sistema para processamento da folha de pagamento - UNIVERSALRH. Deste modo, o gerenciamento dos dados é feito por servidores do próprio quadro do Tribunal. A empresa fornecedora do sistema efetua para todos os clientes do seu produto as atualizações definidas pelas legislações e envia para cada cliente efetivar essas atualizações. Em casos específicos, atende às demandas solicitadas por seus clientes.""
"	
005	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	09/03/2015	"Sou odontóloga do Tribunal de Justiça de Mato Grosso do Sul e necessito das seguintes informações:

1) Qual o salário do médico e do odontólogo do TJPE?
2) Qual o valor do adicional de insalubridade? Como é calculado esse adicional?

Procurei no Portal da Transparência, porém não consegui visualizar exatamente o valor do adicional de insalubridade e como ele é calculado (é uma porcentagem em cima do salário base?).

Agradeço antecipadamente,
"	30/03/2015	"Salário base: R$ 1.509,25
Gratificação de Exercício : R$ 1.509,05
Gratificação de Incentivo a Produtividade: R$ 1.810,86 TOTAL: R$ 4.828, 96. Auxilio Alimentação R$ 745,50. Auxílio Transporte 151,80. TOTAL: R$ 5.726,26"	
006	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	05/03/2015	"Prezado Senhor Ouvidor, boa noite!
Faço parte da comissão dos membros dos aprovados no concurso de servidores/2011 deste Tribunal. Tal comissão visa buscar transparência no que concerne ao preenchimento do quadro de pessoal e constatar o déficit de funcionários por Varas. Tal informação é imprescindível para que possamos pleitear por mais nomeações e fazer com que o Tribunal de Justiça de Pernambuco atenda aos princípios da efetividade no serviço e da celeridade processual, tudo isso o faço em conformidade às prerrogativas da Lei de Acesso à Informação (Lei Federal nº 12.527/11).
No mês de fevereiro do corrente ano, realizamos um levantamento em algumas varas e constatamos a carência de servidores. Com a divisão das varas cíveis, foi estipulado que cada uma deve ter 6 servidores. Mas as demais continuam com 9 servidores.
De acordo com a pesquisa feita no dia 23/02, das 34 varas cíveis da seção A, 30 estão completas, com 6 servidores entre técnicos e analistas, e 4 estão com déficit de 1 servidor cada (5ª, 7ª, 23ª e 29ª).
 
Cargos vagos no dia 24/02:

(01) 5ª Vara Cível seção A;
(01) 7ª Vara Cível seção A;
(01) 23ª Vara Cível seção A;
(01) 29ª Vara Cível seção A;
(01) 1ª Vara Cível seção B;
(01) 8ª Vara Cível seção B;
(01) 13ª Vara Cível seção B;
(02) 17ª Vara Cível seção B;
(01) 19ª Vara Cível seção B;
(01) 20ª Vara Cível seção B;
(01) 28ª Vara Cível seção B;
(01) 31ª Vara Cível seção B; 
(01) 2ª Vara de Família;
(02) 3ª Vara de Família;
(03) 4ª Vara de Família;
(01) 5ª Vara de Família;
(02) 9ª Vara de Família;
(01) 11ª Vara de Família;
(01) 12ª Vara de Família;
(01) 1ª Vara da Fazenda Pública;
(01) 2ª Vara da Fazenda Pública;
(01) 3ª Vara da Fazenda Pública;
(01) 4ª Vara da Fazenda Pública; 
(01) 6ª Vara da Fazenda Pública;
(01) 7ª Vara da Fazenda Pública;
(01) 5º Juizado Especial Cível;
(02) Vara Regional da Infância e Juventude;
(01) 2ª Vara de Executivos Fiscais Estaduais;
(01) 4ª Vara Criminal;
(01) 5ª Vara Criminal;
(01) 6ª Vara Criminal;
(01) 7ª Vara Criminal;
(01) 8ª Vara Criminal;
(01) 10ª Vara Criminal;
(02) 12ª Vara Criminal

Em assim sendo, com arrimo na lei supracitada, desejamos que seja informado o quantitativo de cargos vagos atualmente, para os cargos de Técnico Judiciário (TPJ) e Analista Judiciário (APJ), salientando, no último, a especialidade, se for o caso. Outrossim, solicita-se que seja inteirado quantos cargos restam pendentes de nomeação em virtude da Lei Estadual nº 14.684 de 2012.

Agradecemos desde já a sua colaboração.
"	30/03/2015	"Prezado(a) Senhor(a), 

Ref. PEDIDO DE INFORMAÇÃO Nº 006/2015 - CPSIC/TJPE

Segue, em arquivo anexo, resposta ao seu pedido de informação registrado sob o número em epígrafe.

Atc,.,

Ouvidoria Geral da Justiça 

"	SIM                   Pedido de Informação nº 006/2015
007	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	31/03/2015	"SOLICITO A RELAÇÃO COMPLETA POR NÚMERO DOS PROCESSOS QUE NÃO ESTEJAM PROTEGIDOS POR SEGREDO DE JUSTIÇA EM QUE ATUOU E ATUA O MAGISTRADO EMANUEL BONFIM CARNEIRO AMARAL FILHO ATUALMENTE NO 13° JUIZADO CÍVEL E DAS RELAÇÕES DE CONSUMO DA CAPITAL DESDE QUE INGRESSOU NOS QUADROS DA MAGISTRATURA DO TJPE.

"	29/04/2015	"Prezado(a) Senhor(a), 
 
Ref. Pedido de Informação nº 007/2015 - CPSIC/TJPE.
 
De ordem do Des. Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, levo ao conhecimento de V.Sa o que segue:
 
Considerando que este Órgão não possui as informações solicitadas, vimos por meio deste, com fulcro no Artigo 11, § 1º, inciso III da LAI, comunicar  a V.Sa que tais dados podem ser requeridos (CERTIDÃO) diretamente junto à Secretaria da Unidade Judicial competente (13° JUIZADO CÍVEL E DAS RELAÇÕES DE CONSUMO DA CAPITAL). 
 
Atenciosamente.

Ouvidoria Geral da Justiça - CPSIC/TJPE
"	
008	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	23/04/2015	"Usuário, com base na Lei nº 12.527/2011, solicita as seguintes informações (cópia do e-mail em anexo):
(PEDIDO DE INFORMAÇÃO Nº 008/2015 - CPSIC/TJPE)

""1-Qauntitativo de servidores (com especificação de cargos e funções) lotados nas comarcas integrante do polo Agreste Setentrional (Bom Jardim, Cumuru,Feira Nova, João Alfredo, Limoeiro, Orobó, Passira, Santa Cruz do Capibaribe, Santa Maria do Cambucá, São Vicente Férrer, Surubim, Taquaritinga do Norte, Toritama e Vertentes), vide edital nº 01/2011;

2-Qauntitativo de servidores (com especificação de cargos e funções) selecionados destas comarcas que manifestaram opção e foram selecionados para exercerem suas funções nas unidades judiciárias de Recife, nos termos edital nº 04/2014;

3-Qauntitativo de servidores (com especificação de cargos e funções) das comarcas indicadas no item '1' que pediram exoneração, vacância ou foram removidos por motivo diverso da seleção acima indicada, após a data da propositura do projeto que culminou na promulgação da Lei Complementar nº 279/2014.""

"	23/04/2015	"Prezado(a) Senhor(a), 
PEDIDO DE INFORMAÇÃO Nº 008/2015 - CPSIC-TJPE
 
De ordem do Des. Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, segue em arquivo anexo, resposta ao seu pedido de informação registrado nesta Ouvidoria sob o número em epígrafe.
 
Atc.,
 

Ouvidoria Geral da Justiça 
"	SIM                   Pedido de Informação nº 008/2015
009	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	06/05/2015	"Venho por meio deste pedir a informação, através da lei do acesso a informação,  sobre os cargos vagos existentes no TJ PE para o cargo de Analista Judiciário - Apoio Especializado Assistente Social, em virtude da criação dos cargos através da Lei Complementar 100 de 2004 e com alterações da Lei complementar 298 de 10 de março de 2015, na qual sinaliza um total de 164 cargos criados, porém gostaria de saber quantos cargos efetivamente estão VAGOS e  as localidades que estes cargos estão Vagos? 

CARGOS EFETIVOS CRIADOS PELA LEI COMPLEMENTAR Nº 100, DE 21 DE NOVEMBRO DE 2007, COM AS ALTERAÇÕES REALIZADAS POR ESTA LEI COMPLEMENTAR
Cargos
 Quantitativo

Analista Judiciário, símbolo APJ - Função Judiciária e Administrativa
 471

Técnico Judiciário, símbolo TPJ - Função Judiciária e Administrativa
 1.266

Oficial de Justiça, símbolo OPJ - Função Judiciária e Administrativa
 390

Analista Judiciário, símbolo APJ - Função Apoio Especializado (Assistente Social)
 164

Analista Judiciário, símbolo APJ - Função Apoio Especializado (Psicólogo)
 164

Analista Judiciário, símbolo APJ - Função Apoio Especializado (Pedagogo)
 34

"	28/05/2015	"Prezada Senhora
 
Ref.: Pedido de Informação nº 009/2015 - CPSIC/TJPE
 
De ordem do Excelentíssimo Senhor Desembargador Ouvidor Geral da Justiça e gestor do CPSIC/TJPE, encaminhamos, em arquivo anexo, resposta ao seu  Pedido de Informação com base na LAI.
 
Atenciosamente.

Ouvidoria Geral da Justiça 
"	SIM                   Pedido de Informação nº 009/2015
010	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	16/05/2015	Gostaria de saber a quantidade de oficiais de justiça, aprovados no ultimo concurso do TJPE em 2012, foram nomeados para o Pólo de Classificação 08 - Agreste Central I e quantas vagas há vagas para preenchimento. 	28/05/2015	"O edital 01/2001 apresentou 03 vagas para o cargo de Oficial de Justiça/OPJ, polo de classificação 08 - Agreste CentralI.  Até a presente data, foram nomeados 19 candidatos da listagem geral, e destes 13 tomaram posse e assimiram o efetivo exercício; da listagem de pessoas com deficiência/PCD 01 foi nomeado e tomou posse e assumiu o efetivo exercício. As nomeações, além, das oferecidas no edital, ficam a critério da Adminsitração Superior, atendendo as necessidades institucionais, atreladas a dotação orçamentária e em cumprimento à Lei de Responsabilidade Fiscal. 

"	
